,com
639,1301
640,63195
641,19121
642,77373
643,27439
644,42120
645,85218
646,86066
647,7169
648,35055
649,31118
650,69152
651,71076
652,93059
653,73010
654,13056
655,6079
656,94004
657,57245
658,87113
659,47071
660,59378
661,27270
662,13098
663,34146
664,94017
665,46042
666,94043
667,97114
668,88206
669,9122
670,13081
671,49029
672,31417
673,38556
674,94016
675,97422
676,91432
677,2168
678,22076
679,27372
680,9209
681,69027
682,97116
683,92004
684,67103
685,85215
686,10092
687,65100
688,40062
689,3155
690,77517
691,75103
692,76543
693,35278
694,68144
695,62865
696,76305
697,80013
698,62245
699,25462
700,69117
701,32462
702,52121
703,40184
704,54167
705,61018
706,91479
707,67188
708,54547
709,67462
710,24145
711,44077
712,14745
713,49328
714,26312
715,31511
716,53109
717,66217
718,68300
719,71075
720,85288
721,97230
722,15168
723,44107
724,70473
725,67153
726,77079
727,69047
728,80094
729,51585
730,41212
731,2430
732,69381
733,22226
734,27701
735,14570
736,29126
737,45089
738,49018
739,36202
740,84084
741,60247
742,55405
743,14371
744,38053
745,1249
746,38416
747,33143
748,58282
749,5146
750,94018
751,61293
752,3101
753,89354
754,85035
755,71414
756,24405
757,76126
758,59636
759,83019
760,64140
761,87065
762,67364
763,50401
764,91661
765,94053
766,17291
767,47326
768,27562
769,91161
770,92040
771,38236
772,33122
773,44165
774,50647
775,77216
776,74262
777,69382
778,44180
779,26166
780,76457
781,202080
782,33157
783,85029
784,62080
785,60116
786,78524
787,26179
788,77196
789,17202
790,78190
791,30212
792,95491
793,63284
794,14520
795,8363
796,13086
797,42207
798,38486
799,35288
800,98831
801,94055
802,95582
803,78073
804,33314
805,33192
806,71555
807,92078
808,83025
809,30162
810,4024
811,36018
812,50502
813,74302
814,59260
815,89387
816,35126
817,60466
818,69291
819,29016
820,61230
821,13051
822,26301
823,38565
824,69243
825,72059
826,66049
827,14578
828,68121
829,97410
830,80702
831,59660
832,61328
833,29039
834,91521
835,70058
836,42127
837,50167
838,77474
839,61345
840,50066
841,85090
842,38179
843,27261
844,48005
845,35310
846,14538
847,28218
848,44074
849,91215
850,49353
851,77182
852,95268
853,78418
854,58264
855,62579
856,13100
857,7195
858,50481
859,80489
860,34032
861,49283
862,79299
863,64132
864,63150
865,67348
866,17264
867,67304
868,14242
869,79340
870,28314
871,71263
872,67070
873,93006
874,84031
875,42126
876,83123
877,58152
878,98817
879,47195
880,29051
881,1446
882,94075
883,78321
884,77435
885,14012
886,61121
887,49192
888,91645
889,3022
890,63086
891,202134
892,35099
893,71306
894,14101
895,49244
896,38515
897,35051
898,69264
899,60612
900,37233
901,91433
902,22113
903,89404
904,65437
905,95241
906,87154
907,64122
908,42181
909,36154
910,77410
911,83126
912,24520
913,65417
914,42240
915,60485
916,17385
917,73050
918,38158
919,53126
920,38151
921,22008
922,94003
923,67124
924,28220
925,10333
926,85194
927,45270
928,80624
929,83065
930,94011
